Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPALEAM_31072012.pdf;Acumulada;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPCS_31072012.pdf;Deputada Conceição Sampaio;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPVERABRANCO_31072012.pdf;Deputada Vera Lúcia Castelo Branco;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPAF_31072012.pdf;Deputado Abdala Fraxe;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPAA_31072012.pdf;Deputado Adjuto Afonso;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPAB_31072012.pdf;Deputado Arthur Bisneto;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPBL_31072012.pdf;Deputado Belarmino Lins;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPCM_31072012.pdf;Deputado Cabo Maciel;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPMC_31072012.pdf;Deputado Chico Preto;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPDA_31072012.pdf;Deputado David Almeida;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPFS_31072012.pdf;Deputado Fausto Souza;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPFSOUZA_31072012.pdf;Deputado Francisco Souza;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPJR_31072012.pdf;Deputado José Ricardo;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPJN_31072012.pdf;Deputado Josué Neto;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPLC_31072012.pdf;Deputado Luiz Castro;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPMR_31072012.pdf;Deputado Marcelo Ramos;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPMR_310720121.pdf;Deputado Marcos Rotta;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPOC_31072012.pdf;Deputado Orlando Cidade;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPRN_31072012.pdf;Deputado Ricardo Nicolau;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPSL_31072012.pdf;Deputado Sidney Leite;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPSC_31072012.pdf;Deputado Sinésio Campos;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPJM_31072012.pdf;Deputado Tony Medeiros;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPVL_31072012.pdf;Deputado Vicente Lopes;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPWD_31072012.pdf;Deputado Wanderley Dallas;2012;Julho
http://www.ale.am.gov.br/wp-content/uploads/2014/04/CEAPWL_31072012.pdf;Deputado Wilson Lisboa;2012;Julho
