Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2015/11/acumuladas.pdf;Acumuladas;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/abdala.pdf;Dep. Abdala Fraxe;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/adjuto.pdf;Dep. Adjuto Afonso;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/cabo-maciel.pdf;Dep. Alcimar Maciel;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/alessandra.pdf;Dep. Alessandra Campêlo;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/belarmino.pdf;Dep. Belarmino Lins;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/Bi.pdf;Dep. Bi Garcia;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/joao-bosco.pdf;Dep. Bosco Saraiva;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/carlos-alberto.pdf;Dep. Carlos Alberto;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/david.pdf;Dep. David Almeida;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/dermilson.pdf;Dep. Dermilson Chagas;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/gomes.pdf;Dep. Francisco Gomes;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/francisco-souza.pdf;Dep. Francisco Souza;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/augusto-ferraz.pdf;Dep. José Augusto Ferraz;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/jose-ricardo.pdf;Dep. José Ricardo;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/Neto.pdf;Dep. Josué Neto;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/Luiz-Castro.pdf;Dep. Luiz Castro;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/orlando.pdf;Dep. Orlando Cidade;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/platiny.pdf;Dep. Platiny Soares;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/ricardo.pdf;Dep. Ricardo Nicolau;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/saba.pdf;Dep. Sabá Reis;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/serafim.pdf;Dep. Serafim Corrêa;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/Sinesio.pdf;Dep. Sinésio Campos;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/vicente.pdf;Dep. Vicente Lopes;2015;Outubro
http://www.ale.am.gov.br/wp-content/uploads/2015/11/wanderley-dallas.pdf;Dep. Wanderley Dallas;2015;Outubro
