nome;link;ano;mes
acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ACUMULADA-JANEIRO-20151.pdf;2015;Janeiro
Dep. Abdala Fraxe;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ABDALA-FRAXE1.pdf;2015;Janeiro
Dep. Adjuto Afonso;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ADJUTO-AFONSO-_Salvo-Automaticamente_.pdf;2015;Janeiro
Dep. Alcimar Maciel;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-CABO-MACIEL2.pdf;2015;Janeiro
Dep. Arthur Bisneto;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ARTHUR-BISNETO1.pdf;2015;Janeiro
Dep. Belarmino Lins;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-BELARMINO-LINS1.pdf;2015;Janeiro
Dep. Chico Preto;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCOS-DA-COSTA2.pdf;2015;Janeiro
Dep. Conceição Sampaio;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-CONCEIcaO-SAMPAIO1.pdf;2015;Janeiro
Dep. David Almeida;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-DAVID-ALMEIDA1.pdf;2015;Janeiro
Dep. Fausto Souza;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-FAUSTO-SOUZA1.pdf;2015;Janeiro
Dep. Francisco Souza;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-FRANCISCO-SOUZA1.pdf;2015;Janeiro
Dep. José Ricardo;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOSE-RICARDO1.pdf;2015;Janeiro
Dep. José Wanderley Dallas;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-WANDERLEY-DALLAS1.pdf;2015;Janeiro
Dep. Josué Neto;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOSUe-NETO1.pdf;2015;Janeiro
Dep. Luiz Castro;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-LUIS-CASTRO1.pdf;2015;Janeiro
Dep. Marcelo Ramos;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCELO-RAMOS1.pdf;2015;Janeiro
Dep. Marcos Rotta;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-MARCOS-ROTTA3.pdf;2015;Janeiro
Dep. Orlando Cidade;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-ORLANDO-CIDADE1.pdf;2015;Janeiro
Dep. Ricardo Nicolau;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-RICARDO-NICOLAU1.pdf;2015;Janeiro
Dep. Sidney Leite;http://www.ale.am.gov.br/wp-content/uploads/2015/02/SIDNEY-LEITE1.pdf;2015;Janeiro
Dep. Sinésio Campos;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-SINeSIO-CAMPOS1.pdf;2015;Janeiro
Dep. Tony Medeiros;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-JOaO-DE-MEDEIROS1.pdf;2015;Janeiro
Dep. Vera Lúcia Castelo Branco;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-VERA-CASTELO-BRANCO1.pdf;2015;Janeiro
Dep. Vicente Lopes;http://www.ale.am.gov.br/wp-content/uploads/2015/02/CEAP-VICENTE-LOPES1.pdf;2015;Janeiro
Dep. Wilson Lisboa;http://www.ale.am.gov.br/wp-content/uploads/2015/02/WILSON-LISBOA1.pdf;2015;Janeiro
Acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ACUMULADA-FEVEREIRO-2015.pdf;2015;Fevereiro
Dep. Abdala Fraxe;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ABDALA-FRAXE2.pdf;2015;Fevereiro
Dep. Adjuto Afonso;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ADJUTO-AFONSO-_Salvo-Automaticamente_.pdf;2015;Fevereiro
Dep. Alcimar Maciel;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-CABO-MACIEL.pdf;2015;Fevereiro
Dep. Alessandra Campêlo;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ALESSANDRA-CAMPELO1.pdf;2015;Fevereiro
Dep. Augusto Ferraz;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSE-ALGUSTO-FERRAZ.pdf;2015;Fevereiro
Dep. Belarmino Lins;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-BELARMINO-LINS.pdf;2015;Fevereiro
Dep. Bosco Saraiva;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOaO-BOSCO.pdf;2015;Fevereiro
Dep. Carlos Alberto;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-CARLOS-ALBERTO-DE-CASTRO.pdf;2015;Fevereiro
Dep. David Almeida;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-DAVID-ALMEIDA.pdf;2015;Fevereiro
Dep. Dermilson Chagas;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-DERMILSON-CARVALHO.pdf;2015;Fevereiro
Dep. Francisco Souza;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-FRANCISCO-SOUZA.pdf;2015;Fevereiro
Dep. Frank Luiz;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-FRANK-LUIZ.pdf;2015;Fevereiro
Dep. José Ricardo;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSE-RICARDO.pdf;2015;Fevereiro
Dep. Josué Neto;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-JOSUe-NETO.pdf;2015;Fevereiro
Dep. Luiz Castro;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-LUIS-CASTRO.pdf;2015;Fevereiro
Dep. Orlando Cidade;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-ORLANDO-CIDADE.pdf;2015;Fevereiro
Dep. Platiny Soares;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-PLATINY-SOARES.pdf;2015;Fevereiro
Dep. Ricardo Nicolau;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-RICARDO-NICOLAU.pdf;2015;Fevereiro
Dep. Sabá Reis;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SABA-REIS.pdf;2015;Fevereiro
Dep. Serafim Corrêa;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SERAFIM-FERNANDES.pdf;2015;Fevereiro
Dep. Sidney Leite;http://www.ale.am.gov.br/wp-content/uploads/2015/03/SIDNEY-LEITE.pdf;2015;Fevereiro
Dep. Sinésio Campos;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-SINeSIO-CAMPOS.pdf;2015;Fevereiro
Dep. Vicente Lopes;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-VICENTE-LOPES.pdf;2015;Fevereiro
Dep. Wanderley Dallas;http://www.ale.am.gov.br/wp-content/uploads/2015/03/CEAP-WANDERLEY-DALLAS.pdf;2015;Fevereiro
Acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-ACUMULADA-MARcO-2015.pdf;2015;Março
Dep. Abdala Fraxe;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-ABDALA-FRAXE.pdf;2015;Março
Dep. Adjuto Afonso;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-ADJUTO-AFONSO-_Salvo-Automaticamente_.pdf;2015;Março
Dep. Alcimar Maciel;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-CABO-MACIEL.pdf;2015;Março
Dep. Alessandra Campelo;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-ALESSANDRA-CAMPELO.pdf;2015;Março
Dep. Augusto Ferraz;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-JOSE-ALGUSTO-FERRAZ.pdf;2015;Março
Dep. Belarmino Lins;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-BELARMINO-LINS.pdf;2015;Março
Dep. Bi Garcia;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-FRANK-LUIZ.pdf;2015;Março
Dep. Bosco Saraiva;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-JOaO-BOSCO.pdf;2015;Março
Dep. Carlos Alberto;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-CARLOS-ALBERTO-DE-CASTRO.pdf;2015;Março
Dep. David Almeida;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-DAVID-ALMEIDA.pdf;2015;Março
Dep. Dermilson Carvalho;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-DERMILSON-CARVALHO.pdf;2015;Março
Dep. Francisco Gomes;http://www.ale.am.gov.br/wp-content/uploads/2015/04/FRANCISCO-GOMES.pdf;2015;Março
Dep. Francisco Souza;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-FRANCISCO-SOUZA.pdf;2015;Março
Dep. José Ricardo;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-JOSE-RICARDO.pdf;2015;Março
Dep. Josué Neto;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-JOSUe-NETO.pdf;2015;Março
Dep. Luiz Castro;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-LUIS-CASTRO.pdf;2015;Março
Dep. Orlando Cidade;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-ORLANDO-CIDADE.pdf;2015;Março
Dep. Ricardo Nicolau;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-RICARDO-NICOLAU.pdf;2015;Março
Dep. Sabá Reis;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-SABA-REIS.pdf;2015;Março
Dep. Serafim Corrêa;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-SERAFIM-FERNANDES.pdf;2015;Março
Dep. Sidney Leite;http://www.ale.am.gov.br/wp-content/uploads/2015/04/SIDNEY-LEITE-Copia.pdf;2015;Março
Dep. Sinésio Campos;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-SINeSIO-CAMPOS.pdf;2015;Março
Dep. Vicente Lopes;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-VICENTE-LOPES.pdf;2015;Março
Dep. Wanderley Dallas;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-WANDERLEY-DALLAS.pdf;2015;Março
Dep.Platiny Soares;http://www.ale.am.gov.br/wp-content/uploads/2015/04/CEAP-PLATINY-SOARES.pdf;2015;Março
Acumuladas;http://www.ale.am.gov.br/wp-content/uploads/2015/05/CEAP-ACUMULADA-ABRIL-2015.pdf;2015;Abril
