Nome;Ano;
http://www.ale.am.gov.br/wp-content/uploads/2016/08/acumuladas1.pdf;Acumuladas;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/bosco-saraiva1.pdf;Bosco Saraiva;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/Abdala.pdf;Dep. Abdala Fraxe;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/adjuto.pdf;Dep. Adjuto Afonso;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/alcimar-maciel.pdf;Dep. Alcimar Maciel;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/Alessandra.pdf;Dep. Alessandra Campêlo;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/augusto-ferraz1.pdf;Dep. Augusto Ferraz;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/belarmino1.pdf;Dep. Belarmino Lins;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/Bi-Garcia.pdf;Dep. Bi Garcia;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/carlos-alberto.pdf;dep. Carlos Alberto;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/david1.pdf;Dep. David Almeida;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/dermilson1.pdf;Dep. Dermilson Chagas;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/Dr.-Gomes.pdf;Dep. Dr. Gomes;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/francisco-souza1.pdf;Dep. Francisco Souza;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/jose-ricardo1.pdf;Dep. José Ricardo;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/Neto.pdf;Dep. Josué Neto;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/luiz-castro1.pdf;Dep. Luiz Castro;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/orlando-cidade1.pdf;Dep. Orlando  Cidade;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/platiny1.pdf;Dep. Platiny Soares;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/ricardo-nicolau1.pdf;Dep. Ricardo Nicolau;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/saba-reis1.pdf;Dep. Sebastião Reis;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/serafim-correa.pdf;Dep. Serafim Corrêa;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/sinesio-campos.pdf;Dep. Sinésio Campos.;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/vicente-lopes1.pdf;Dep. Vicente Lopes;2016;Julho
http://www.ale.am.gov.br/wp-content/uploads/2016/08/wanderley-dallas3.pdf;Dep. Wanderley Dallas;2016;Julho
