Código Receita|Receita||Jan|Fev|Mar|Abr|Mai|Jun|Jul|Ago|Set|Out|Nov|Dez|Total|
 1.1.1.3.03.1.1.0001| Retidos nas Fontes| Previsto| 1.597.890,30| 1.497.316,61| 66,23| 1.585.289,87| 3.143.337,07| 1.630.295,52| 1.774.234,28| 1.872.469,67| 2.050.000,00| 2.050.000,00| 2.050.000,00| 6.762.437,45| 26.013.337,00|
 | | %| 100,00| 100,00| 2.247.646,01| 100,00| 52,64| 100,00| 100,00| 100,00| 83,20| | | | 56,92|
 | | Arrecadado| 145.487,09| 287.848,05| 120.894,59| 109.629,62| 76.348,23| 510.489,77| 109.944,39| 227.793,79| 54.303,88| | | | 1.642.739,41|
 1.1.1.8.01.1.1.0001| Imp. S/ a Propriedade Predial e Territorial Urbana| Previsto| 454.853,08| 14.142.089,13| 3.263.288,05| 2.479.145,59| 2.248.821,06| 2.108.092,69| 2.079.345,56| 2.116.895,75| 1.820.500,00| 1.820.500,00| 1.820.500,00| 430.430,10| 34.784.461,01|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 50,61| | | | 85,71|
 | | Arrecadado| 80.242,20| 112,06| 27.381,71| 49.636,95| 46.358,02| 45.856,22| 53.696,66| 62.083,70| 29.128,14| | | | 394.495,66|
 1.1.1.8.01.1.3.0001| Rec.div.ativa do Imp.s/a Prop.pred.territ.| Previsto| 339.097,31| 376.227,16| 346.038,29| 244.317,73| 725.811,30| 777.474,28| 936.035,36| 715.411,10| 842.998,50| 842.998,50| 842.998,50| 3.126.573,97| 10.115.982,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 48,72| | | | 48,15|
 | | Arrecadado| 316.781,95| 260.275,74| 260.729,87| 207.134,98| 183.474,59| 197.026,91| 293.760,85| 319.821,92| 155.011,01| | | | 2.194.017,82|
 1.1.1.8.01.1.9.0001| Atualizacao Monetaria da Divida Ativa do Iptu| Previsto| 151.652,65| 100.738,81| 104.682,60| 82.492,74| 257.580,63| 271.913,03| 326.447,79| 260.989,92| 287.201,08| 287.201,08| 287.201,08| 1.028.311,59| 3.446.413,00|
 | | %| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 100,00| 40,27| | | | 48,52|
 | | Arrecadado| 223.576,38| 207.071,84| 187.937,11| 267.123,81| 311.287,68| 275.766,72| 714.944,32| 1.821.392,54| 135.313,61| | | | 4.144.414,01|
