CHICLE FINI NATURAL MENTA SACUCAR 18G;R$ 0,75;FARMABEM;AV TORQUATO TAPAJOS, NRO 5252, FLORES, MANAUS-AM, CEP 69058-830
REFRES PO ZERO ACUCA;R$ 0,89;CARREFOUR;AV JORNALISTA HUMBERTO CALDERARO FILHO 203, NRO 203, ADRIANOPOLIS, MANAUS-AM, CEP 69057-015
FIT ZERO ACUCAR LARA;R$ 0,95;IALA COMERCIO DE PROD.ALI. E MAT ESC. E ESCRI LTDA - ME;RUA GENERAL CARNEIRO, NRO 536, SAO FRANCISCO[, MANAUS-AM, CEP 69079-020
AGUA SABOR.HYDRO LIMAO ZERO ACUCAR;R$ 0,99;BARATAO DA CARNE - C.DEUS;AV NOSSA SENHORA DA CONCEICAO (C DEUS), NRO 1326, JORGE TEIXEIRA, NAO INFORMADO, MANAUS-AM, CEP 69099-852
ACUCAR PURO GRAO 40 G AMARELO UN;R$ 1,25;SUPERMERCADO VENEZA;AV TANCREDO NEVES, NRO 915, PARQUE 10, MANAUS-AM, CEP 69054-700
ACUCAR PURO GRAO 40G VERDE UN;R$ 1,25;SUPERMERCADO VENEZA;AV TANCREDO NEVES, NRO 915, PARQUE 10, MANAUS-AM, CEP 69054-700
ACUCAR AMARELO 40G;R$ 1,40;COMERCIAL ALEX;RUA DOUTOR ARGEMIRO GERMANO, NRO 032, CIDADE NOVA, MANAUS-AM, CEP 69090-742
ACUCAR CONFEITEIRO;R$ 1,40;MERCADINHO PARANA;RUA WALTER REIS, NRO 1537, JORGE TEIXEIRA, MANAUS-AM, CEP 69088-732
ACUCAR COLORIDO AZUL 80G (20).;R$ 1,49;BOMBONS & CIA;AV BRIGADEIRO HILARIO GURJAO, NRO 100, TANCREDO NEVES, MANAUS-AM, CEP 69087-295
COCA-COLA ZERO ACUCAR 250ML;R$ 1,50;BAZAR NENNY;R. PAULO LOPES, NRO 182, COROADO II, MANAUS-AM, CEP 69080-340
ACUCAR VERDE FAC A A FESTA CONFEITOS 40G;R$ 1,50;CALIFORNIA;RUA EZEQUIEL, 81, NRO 81, NOVO ISRAEL, MANAUS-AM, CEP 69039-090
ACUCAR PCONF BRETZKE AZ 40G V;R$ 1,55;LOJA 01 HIPER PARAIBA;AV JORN. HUMBERTO C FILHO, NRO 1128, ADRIANOPOLIS, MANAUS-AM, CEP 69057-021
ACUCAR PCONF BRETZKE BC 40G V;R$ 1,55;LOJA 22 HIPER NOVA CIDADE;AV MARAGARITA, NRO 1359, NOVA CIDADE, MANAUS-AM, CEP 69097-305
ACUCAR PCONF BRETZKE VD 40G V;R$ 1,55;LOJA 22 HIPER NOVA CIDADE;AV MARAGARITA, NRO 1359, NOVA CIDADE, MANAUS-AM, CEP 69097-305
ACUCAR PCONF BRETZKE AM 40G;R$ 1,55;LOJA 22 HIPER NOVA CIDADE;AV MARAGARITA, NRO 1359, NOVA CIDADE, MANAUS-AM, CEP 69097-305
ACUCAR CRISTAL DOCE DIA;R$ 1,59;BARATAO DA CARNE - TORQ;AV TORQUATO TAPAJOS, NRO 1852, FLORES, NAO INFORMADO, MANAUS-AM, CEP 69058-830
ACUCAR OTIMO CRISTAL 1KG;R$ 1,59;SM VITORIA;AVENIDA TORQUATO TAPAJO, NRO 5200, FLORES, MANAUS-AM, CEP 69058-860
ACUCAR CRISTAL OTIMO 1KG;R$ 1,59;LOJA 20 SUPER MANOA;RUA FRANCISCO QUEIROZ, NRO 1025, MANOA, MANAUS-AM, CEP 69054-712
ACUCAR CRISTAL ITAMARATI 1KG;R$ 1,59;LOJA 09 HIPER DB DISTRITO;AV RODRIGO OTAVIO, NRO 3810, JAPIIM, MANAUS-AM, CEP 69077-900
ACUCAR ROSA 40G;R$ 1,60;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
ACUCAR AZUL 40G FACA A FESTA;R$ 1,60;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
ACUCAR MAMNAUS 1KG [DIVERSOS];R$ 1,65;MERCADINHO AMAZONIA;RUA OURO PRETO, NRO 012, COROADO, MANAUS-AM, CEP 69080-430
ACUCAR CRISTAL ACUCARLESTE 1KG [MERCADINHO];R$ 1,69;MERCADINHO E ACOUGUE D.F;RUA BELFORD ROXO, NRO 850, JORGE TEIXEIRA 4, MANAUS-AM, CEP 69088-039
ACUCAR CRISTAL MANAUS 1KG;R$ 1,69;CAMPEAO SUPERMERCADOS LTDA;RUA JOAO PAULO I, NRO 001, ALVORADA, MANAUS-AM, CEP 69043-000
ACUCAR DOCE DIA 1KG;R$ 1,69;FRIOTRANS CAMAPUA;AVENIDA CAMAPU?, NRO 2239, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69097-720
ACUCAR CRIST ESPECIAL DOCE DIA 1KG;R$ 1,70;BIG AMIGAO F5;RUA SANTO EXPEDITO - QD.B - LTS 11 AO 24, NRO 100, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-314
ACUCAR CRISTAL PREMIERE 30X1KG;R$ 1,73;COMERCIAL FENNIX;AV BRIGADEIRO HILARIO GURJAO 324, NRO 324, JORGE TEIXEIRA, 1, MANAUS-AM, CEP 69088-000
ACUCAR CRISTAL LESTE;R$ 1,75;L V BARJA QUEIROZ;RUA IRITAMA, NRO 002, CIDADE NOVA, MANAUS-AM, CEP 69097-760
ACUCAR LESTE 1K;R$ 1,75;MERCADINHO MATOS;RUA MUTUM-ETE, NRO 56, J. TEIXEIRA, MANAUS-AM, CEP 69088-146
ACUCAR DOCE DIA 1KG;R$ 1,75;MERCADINHO CARVALHO;RUA SATERE MAUE, NRO 33, TERRA NOVA, MANAUS-AM, CEP 69039-290
ACUCAR IOTAJA;R$ 1,75;MERCADINHO E PANIFICADORA GASPAR;RUA JAMAICA, QD 175, CONJ. NOVA CIDADE, NRO 91, CIDADE NOVA, MANAUS-AM, CEP 69000-000
ACUCAR DOCE-DIA 1K;R$ 1,75;MERCADINHO E ACOUGUE BOM PRECO;RUA DEOCLECIO SOARES DE OLIVEIRA, (COM SHARP) TERREO, NRO 186, ARMANDO MENDES, MANAUS-AM, CEP 69089-235
ACUCAR DOCE DIA;R$ 1,75;COMERCIAL ALEX;RUA DOUTOR ARGEMIRO GERMANO, NRO 032, CIDADE NOVA, MANAUS-AM, CEP 69090-742
ACUCAR DOCE DIA 1KG;R$ 1,75;DISTRIBUIDORA OMAR 3;AVENIDA BRIGADEIRO HILARIO, NRO 796, JORGE TEIXEIRA, NAO INFORMADO, MANAUS-AM, CEP 69088-000
ACUCAR LESTE 1K;R$ 1,75;MERCADINHO E ACOUGUE BOM PRECO;RUA DEOCLECIO SOARES DE OLIVEIRA, (COM SHARP) TERREO, NRO 186, ARMANDO MENDES, MANAUS-AM, CEP 69089-235
ACUCAR DOCE DIA 1KG;R$ 1,75;DISTRIBUIDORA OMAR 1;TRAVESSA DAS SALVIAS, NRO 006, JORGE TEXEIRA, NAO INFORMADO, MANAUS-AM, CEP 69088-550
ACUCAR DOCE DIA;R$ 1,75;MERCADINHO BARATO TOTAL;RUA 26 DE AGOSTO RIACHO DOCE II, NRO 30, CIDADE NOVA, MANAUS-AM, CEP 69095-187
ACUCAR ACUCARLESTE 1KG 2867;R$ 1,75;MERCADINHO E ACOUGUE 3 IRMAOS;AVENIDA ALECRIM, NRO 140, JOAO PAULO II, MANAUS-AM, CEP 69000-000
ACUCAR Q SABOR 1 KG [BOCARDO];R$ 1,75;MERC E ACOLGUE CATARINENSE;RUA CIRCULAR II, NRO 239, A MENDES CIDADE NOVA, MANAUS-AM, CEP 69099-370
ACUCAR Q SABOR 1 KG [BOCARDO];R$ 1,75;MERC E ACOLGUE CATARINENSE;RUA CREIZA COELHO, NRO 071, ZUMBI II, MANAUS-AM, CEP 69084-070
ACUCAR CRISTAL ORIENTE KG;R$ 1,78;MERCADINHO ISRAEL;AV. ITACOLOMI  QUADRA 37A, NRO 34, ARMANDO MENDES, MANAUS-AM, CEP 69086-003
ACUCAR CRISTAL DOCE DIA 1KG;R$ 1,78;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
ACUCAR LESTE KG;R$ 1,78;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
ACUCAR DOCE CRISTAL 1KG;R$ 1,79;CALIFORNIA;RUA EZEQUIEL, 81, NRO 81, NOVO ISRAEL, MANAUS-AM, CEP 69039-090
ACUCAR DOCE DIA 1KG;R$ 1,79;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
ACUCAR ITAMARATI 1 KG;R$ 1,79;MERCADINHO VALE DO SOL;ARISTOTELES BONFIM, NRO 120, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-230
