CERVEJA ITAIPAVA PILSEN 269ML LT;R$ 1,79;LOJA 01 HIPER PARAIBA;AV JORN. HUMBERTO C FILHO, NRO 1128, ADRIANOPOLIS, MANAUS-AM, CEP 69057-021
CERVEJA ITAIPAVA PILSEN LN 250ML;R$ 1,89;CDL ATACK FILIAL FLORES;AV. MAX TEIXEIRA, NRO 1878, FLORES, NAO INFORMADO, MANAUS-AM, CEP 69058-415
CERVEJA ITAIPAVA PILSEN LT 269ML;R$ 1,89;CDL ATACK FILIAL FLORES;AV. MAX TEIXEIRA, NRO 1878, FLORES, NAO INFORMADO, MANAUS-AM, CEP 69058-415
CERVEJA ITAIPAVA LT 269ML;R$ 1,99;MERCADINHO JUMA 1;RUA JASMIM DE CAIEMA, NRO 26, NOVO ALEIXO, MANAUS-AM, CEP 69098-376
CERV ITAIPAVA PILSEN LT 269ML;R$ 1,99;SUPERMECADO CEZAR CIA LTDA;RUA 7B, NRO 001, SAO JOSE OPER., MANAUS-AM, CEP 69086-083
CERVEJA ITAIPAVA LATA 269ML;R$ 1,99;CAMPEAO SUPERMERCADOS LTDA;RUA JOAO PAULO I, NRO 001, ALVORADA, MANAUS-AM, CEP 69043-000
CERVEJA ITAIPAVA LAT;R$ 1,99;CAMPEAO SUPERMERCADOS LTDA;RUA JOAO PAULO I, NRO 001, ALVORADA, MANAUS-AM, CEP 69043-000
CERVEJA ITAIPAVA 269ML UND;R$ 2,00;MERCADINHO POPULAR;AV. ARICA, NRO 128, MAUAZINHO, MANAUS-AM, CEP 69047-010
CERVEJA ITAIPAVA PILSEN LT 269 ML;R$ 2,05;FRIOTRANS CAMAPUA;AVENIDA CAMAPU?, NRO 2239, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69097-720
CERVEJA ITAIPAVA 269ML;R$ 2,09;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
CERVEJA ITAIPAVA PILSEN LT 269ML;R$ 2,09;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
CERV ITAIPAVA 269M;R$ 2,09;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
CERVEJA ITAIPAVA LONG NECK 250ML;R$ 2,15;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
CERVEJA ITAIPAVA PILSEN 250ML LN;R$ 2,15;LOJA 32 HIPER ALEIXO;AV COSME FERREIRA, NRO 2540, COROADO, MANAUS-AM, CEP 69082-230
CERV ITAIPAVA 350ML;R$ 2,19;Loja 122 - Manaus;AV AUTAZ MIRIM, NRO 8755, NOVO ALEIXO, MANAUS-AM, CEP 69099-045
CERVEJA ITAIPAVA PILSEN 269 ML LATA UN;R$ 2,19;SUPERMERCADO VENEZA;AV TANCREDO NEVES, NRO 915, PARQUE 10, MANAUS-AM, CEP 69054-700
LONGNECK ITAIPAVA 25;R$ 2,25;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
ITAIPAVA 269ML UN;R$ 2,25;CASA DE CARNE OTAVIO;RUA PADRE JOAO RIBEIRO, NRO 110, CANARANAS, MANAUS-AM, CEP 69097-000
CERVEJA ITAIPAVA PILSEN 269ML;R$ 2,25;PEDRO NAGAWO DE SOBRAL ME;TRAV. ARHUR AZEVEDO, 16QD 7 LT 16, NRO 16, CIDADE NOVA, MANAUS-AM, CEP 69098-000
CERVEJA ITAIPAVA PILSEN LN 250ML;R$ 2,30;FRIGORIFICO AMAZONAS;RUA RIO CARAUARI , 100, NRO 100, SAO JOSE OPERARIO, MANAUS-AM, CEP 69086-001
CERVEJA ITAIPAVA PILSEN LT 269ML;R$ 2,35;ALIANCA SUPERMERCADO;RUA CASSIOPEIA, SANTO AGOSTINHO, MANAUS-AM, CEP 69036-600
CERVEJA ITAIPAVA PILSEN VD 250ML;R$ 2,39;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
CERVEJA ITAIPAVA 350ML LT;R$ 2,39;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
CERV ITAIPAVA 269ML LT PILSEN . (DIVERSAS);R$ 2,40;SUPERMERCADO MATCHOU;RUA JOAO CAMARA, NRO 027, NOVO ALEIXO, QUADRA E 32 LOTE 26/27, MANAUS-AM, CEP 69098-165
CERVEJA ITAIPAVA PI;R$ 2,40;AUTO POSTO NETAO;RUA CORONEL TABORDA DE MIRANDA (NUCLEO 3), NRO 13, CIDADE NOVA, MANAUS-AM, CEP 69094-270
CERVEJA ITAIPAVA LAT;R$ 2,49;CASA DE CARNE;AV. COSME FERREIRA, NRO 6110, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-425
CERVEJA ITAIPAVA PILSEN 350ML LT;R$ 2,49;LOJA 01 HIPER PARAIBA;AV JORN. HUMBERTO C FILHO, NRO 1128, ADRIANOPOLIS, MANAUS-AM, CEP 69057-021
CERVEJA LT ITAIPAVA 269ML;R$ 2,49;SUPERMERCADO ECONOMIA;RUA GURUPI, NRO 2323, REDENCAO, MANAUS-AM, CEP 69047-010
CERVEJA ITAIPAVA 269;R$ 2,49;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
CERVEJA ITAIPAVA 269ML LATA;R$ 2,49;CASA DE CARNE OTAVIO;RUA SAO EUSEBIO, NRO 219, TERRA NOVA, MANAUS-AM, CEP 69093-820
CERVEJA ITAIPAVA LATA 350ML;R$ 2,49;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
CERV ITAIPAVA PILSEN;R$ 2,50;FINO CORTE - ALEIXO;AVENIDA ANDRE ARAUJO, NRO 075, ALEIXO, MANAUS-AM, CEP 69060-000
CERVEJA ITAIPAVA LATA 269ML;R$ 2,50;MERCADINHO ADAO EVA;RUA PROFESSORA RAIMUNDA MAGALHAES, NRO 103, COROADO II, MANAUS-AM, CEP 69080-271
CERVEJA ITAIPAVA 269;R$ 2,50;IALA COMERCIO DE PROD.ALI. E MAT ESC. E ESCRI LTDA - ME;RUA GENERAL CARNEIRO, NRO 536, SAO FRANCISCO[, MANAUS-AM, CEP 69079-020
CERVEJA ITAIPAVA PILSEN 269ML;R$ 2,50;MERCANTIL & ACOGUE BOM PRECO;AV SANTA MARIA DA PAZ, NRO 637, CIDADE DE DEUS, MANAUS-AM, CEP 69099-644
CERVEJA ITAIPAVA C/ 12 LATAS 269ML;R$ 2,50;MARTA SOLANGE SIMOES DA MOTA;RUA AMERICO ALVAREZ, NRO 215, JAPIIM, MANAUS-AM, CEP 69078-560
CERV ITAIPAVA PILSEN 269ML;R$ 2,50;MERCADINHO PEREIRA;RUA ITAETE, NRO 138, AMAZONINO MENDES, MANAUS-AM, CEP 69099-230
CERVEJA ITAIPAVA 269ML;R$ 2,50;MERCADINHO MATOS;RUA MUTUM-ETE, NRO 56, J. TEIXEIRA, MANAUS-AM, CEP 69088-146
CERVEJA ITAIPAVA 269ML;R$ 2,50;MERCADINHO CLEBER;RUA PROF. MANOEL BELEM, NRO 043, CIDADE NOVA, CONJ. MANOA, MANAUS-AM, CEP 69090-767
CERV. ITAIPAVA GARRAFA 250ML;R$ 2,50;COTAM DISTRITO;AV. BURITI, NRO 1569, DISTRITO, MANAUS-AM, CEP 69075-000
CERVE ITAIPAVA 269ML;R$ 2,50;F DAS C CARIOCA DE ALCANTARA;AV. NEPAL QD 63, NRO 012, NOVA CIDADE, MANAUS-AM, CEP 69097-315
