REFRIGERANTE FRAMBOESA GRAPETTE 250ML;R$ 0,79;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE ICE COLA 250ML;R$ 0,89;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE ICE COLA 250ML;R$ 0,99;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE 220ML F;R$ 0,99;COMERCIAL SAO MARCOS LTDA ME;R TABIRA, NRO 728, ALVORADA, MANAUS-AM, CEP 69046-380
REFRIGERANTE GRAPETTE 250ML;R$ 1,00;MERCADINHO E ACOUGUE OLIVEIRA;AVE BEIRA RIO, NRO 223, COROADO, MANAUS-AM, CEP 69082-660
REFRIGERANTE;R$ 1,00;MERCADINHO RIO JORDAO;AV 7 DE MAIO, NRO 1337, SANTA ETELVINA, MANAUS-AM, CEP 69059-423
REFRIGERANTE GRAPETTE 250 ML;R$ 1,00;PANIFICADORA KATIUCIA;RUA FIALHO D'ALMEIDA, NRO 056, COMPENSA, MANAUS-AM, CEP 69035-070
REFRIGERANTE ICE COLA 250ML;R$ 1,00;MERCADINHO 2 IRMAOS;RUA TERRA NOVA, CASA 1, NRO 415, SAO JOSE OPERARIO, MANAUS-AM, CEP 69085-080
REFRIGERANTE PEPSI COLA PET 237ML;R$ 1,09;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE ICE COLA 250ML;R$ 1,09;SUPERMECADO CEZAR CIA LTDA;RUA 7B, NRO 001, SAO JOSE OPER., MANAUS-AM, CEP 69086-083
REFRIGERANTE LARANJINHA 250ML;R$ 1,20;MERCADINHO POPULAR;AVE RIO MADEIRA, NRO 440, N S DAS GRACAS, MANAUS-AM, CEP 69053-030
REFRIGERANTE MINI SCHIN COLA 250ML;R$ 1,25;MERCADINHO BOM PRECO;R ADALBERTO VALE, NRO 371, BETANIA, MANAUS-AM, CEP 69073-040
REFRIGERANTE GUARANA ANTARCTICA CACULINHA;R$ 1,25;MERCADINHO SALVADOR;R JOAO PAULO I, NRO 336, ALVORADA, MANAUS-AM, CEP 69042-210
REFRIGERANTE TUCHAUA;R$ 1,25;CASA DE CARNE;AV. COSME FERREIRA, NRO 6110, ZUMBI DOS PALMARES, MANAUS-AM, CEP 69084-425
REFRIGERANTE FLESH LARANJA 350ML;R$ 1,29;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE FRUIT ORANGE 350ML;R$ 1,29;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE REGENTE 350ML;R$ 1,35;MARA FRIOS;AV NOEL NUTELS - CONJ CN ET 1, NRO 20, CIDADE NOVA, MANAUS-AM, CEP 69093-770
REFRIGERANTE MAGISTRAL GOLD 350ML;R$ 1,39;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE GRAPETTE 350ML;R$ 1,40;MERCADINHO JAPONES;RUA MANOEL MARQUES DE SOUZA, NRO 242, PARQUE DEZ, MANAUS-AM, CEP 69055-240
REFRIGERANTE MAGISTRAL GUARANA PT 350ML FABRICA MAGISTRAL;R$ 1,40;PADARIA LISBOA;RUA VOLUNTARIOS DA PATRIA, NRO 432, VILA DA PRATA, MANAUS-AM, CEP 69030-520
REFRIGERANTE MAGISTRAL 350ML;R$ 1,40;MERCADINHO JAPONES;RUA MANOEL MARQUES DE SOUZA, NRO 242, PARQUE DEZ, MANAUS-AM, CEP 69055-240
REFRIGERANTE MAGISTRAL GOLD 350ML;R$ 1,40;MERCADINHO JAPONES;RUA MANOEL MARQUES DE SOUZA, NRO 242, PARQUE DEZ, MANAUS-AM, CEP 69055-240
REFRIGERANTE FANTA L;R$ 1,49;CARREFOUR;AV DJALMA BATISTA 482 LOJA B  CHAPADA, NRO 482, CHAPADA, LOJA B, MANAUS-AM, CEP 69050-902
REFRIGERANTE GURY LARANJA 350ML;R$ 1,49;BIG AMIGAO F1;RUA DOS BARES, NRO 425, CENTRO, NAO INFORMADO, MANAUS-AM, CEP 69005-020
REFRIGERANTE GRAPETTE 350ML;R$ 1,49;BIG AMIGAO F4;RUA FRANCISCA MENDES, NRO 2360, CIDADE DE DEUS, NAO INFORMADO, MANAUS-AM, CEP 69099-345
REFRIGERANTE GURY LARANJA 350ML;R$ 1,49;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE MAGISTR;R$ 1,49;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
REFRIGERANTE MAGISTRAL 350ML;R$ 1,49;SUPERMERCADO NORDESTE;AV TORQUATO TAPAJOS, NRO 10949, TARUMA, NAO INFORMADO, MANAUS-AM, CEP 69041-025
REFRIGERANTE GURY COLA 350ML;R$ 1,49;BIG AMIGAO F1;RUA DOS BARES, NRO 425, CENTRO, NAO INFORMADO, MANAUS-AM, CEP 69005-020
REFRIGERANTE FLESH;R$ 1,49;SUPER JB;AVE BARAO DO RIO BRANCO, NRO 015, FLORES, MANAUS-AM, CEP 69058-581
REFRIGERANTE MAGISTRAL 350ML;R$ 1,50;MERCADINHO SALVADOR;R JOAO PAULO I, NRO 336, ALVORADA, MANAUS-AM, CEP 69042-210
COCA COLA REFRIGERANTE DE COLA SABOR ORIGINAL,250ML;R$ 1,50;MERCADINHO UNIAO;AV DUQUE DE CAXIAS, NRO 1246, PRACA 14 DE JANEIRO, MANAUS-AM, CEP 69020-141
REFRIGERANTE COCA-COLA PET 250ML [DIVERSOS];R$ 1,50;COMERCIAL RHYANNA;RUA GUAJURU, NRO 012, CIDADE NOVA, MANAUS-AM, CEP 69090-326
