BISC RICH ANI ZOO BOLO BAUN C/ MORAN 40G;0.69;SUPERMERCADO RODRIGUES;AV AUTAZ MIRIM, NRO 7451, TANCREDO NEVES, NAO INFORMADO, MANAUS-AM, CEP 69085-000
BOLO BAUDUC DUPLO CHOC 40G;0.89;MERCADINHO VALE DO SOL;RUA DA PASSAGEM, NRO 012, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-332
BOLO BAUDUC MOR 40G;0.89;MERCADINHO VALE DO SOL;RUA DA PASSAGEM, NRO 012, JARDIM PETROPOLIS, MANAUS-AM, CEP 69067-332
BOLO BAUDUC BRIGA 40;0.9;COMERCIAL ALEX;RUA DOUTOR ARGEMIRO GERMANO, NRO 032, CIDADE NOVA, MANAUS-AM, CEP 69090-742
BOLO BAUDUC CHOC 40G;0.95;BAZAR NENNY;R. PAULO LOPES, NRO 182, COROADO II, MANAUS-AM, CEP 69080-340
MINI BOLO BAUDUCCO R;0.99;CARREFOUR;AV PEDRO TEIXEIRA 52 LOTE B, NRO 52, DOM PEDRO, LOTE B, MANAUS-AM, CEP 69040-000
BOLO BAUN/MORANGO PE;0.99;LUIZ CARLOS DORNELES QUEIROZ-M;AV OSCAR BOREL, NRO 052, COMPENSA II, MANAUS-AM, CEP 69035-210
BOLO BAUDUC BRIGA 40G;0.99;MERCADINHO VALE DO SOL;RUA THOMAS EDSON , 78, NRO 78, LIRIO DO VALE, MANAUS-AM, CEP 69037-820
BOLO TREL.BRIG/CHOC;0.99;SUPERMERCADO LONDRINA LTDA - ME;R NOSSA SENHORA DAS GRACAS, NRO 113, DA PAZ, MANAUS-AM, CEP 69048-170
MINI BOLO RECH BAUDU;0.99;CARREFOUR;AV DJALMA BATISTA 276 FLORES, NRO 276, FLORES, MANAUS-AM, CEP 69050-010
BOLO BAUN/CHOCO PELA;0.99;LUIZ CARLOS DORNELES QUEIROZ-M;AV OSCAR BOREL, NRO 052, COMPENSA II, MANAUS-AM, CEP 69035-210
BOLO BRIGADEIRO;1.0;MERCANTIL AM;RUA RIO AJARANI, NRO 001, ARMANDO MENDES, QD 25, MANAUS-AM, CEP 69089-120
BOLO CASEIRO;1.0;VERDURAO COMPRE BEM;AVE DUBLIM - CJ RES FLAMANAL, NRO 076, PLANALTO, MANAUS-AM, CEP 69042-010
BOLO BAUDUC BRIGA 40G;1.0;EDINA SOUZA VALIS COMERCIAL - ME;AVE NATAL LOT RIO PIORINI, NRO 1306, COL TERRA NOVA, MANAUS-AM
BOLO;1.0;AUXILIADORA COM. REPRESENTACOE;RUA PENETRACAO, NRO 046, MUTIRAO, MANAUS-AM, CEP 69000-000
BOLO BAUDUC BAU C CHOC;1.0;M A LAURENTINO BARRETO - ME;AVE PRAIA DO FUTURO LT 5 QD 17 - RES RIO SOLIMOES, NRO 005, TARUMA, MANAUS-AM, CEP 69041-400
BOLO BAUDUCCO GOTAS DE CHOCOLATE;1.0;MERCANTIL AM;RUA RIO AJARANI, NRO 001, ARMANDO MENDES, QD 25, MANAUS-AM, CEP 69089-120
BOLO BAUDUC MOR 40G;1.0;EDINA SOUZA VALIS COMERCIAL - ME;AVE NATAL LOT RIO PIORINI, NRO 1306, COL TERRA NOVA, MANAUS-AM
BOLO CHOC ZOO RICHES;1.09;L V BARJA QUEIROZ;RUA IRITAMA, NRO 002, CIDADE NOVA, MANAUS-AM, CEP 69097-760
BOLO BAUDUCCO KIDS DUPLO CHOC 40G;1.09;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
MINI BOLO VISCONTI B;1.09;CARREFOUR;AV DJALMA BATISTA 482 LOJA B  CHAPADA, NRO 482, CHAPADA, LOJA B, MANAUS-AM, CEP 69050-902
MINI BOLO VISCONTI G;1.09;CARREFOUR;AV DJALMA BATISTA 482 LOJA B  CHAPADA, NRO 482, CHAPADA, LOJA B, MANAUS-AM, CEP 69050-902
BOLO BAUDUCCO KIDS BAUNILHA E CHOCOLATE 40G;1.09;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
BOLO BAUDUCCO KIDS BAUNILHA E MORANGO 40G;1.09;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
BOLO BAUDUCCO KIDS BRIGADEIRO 40G;1.09;SUPERMERCADO VIDAL;AVENIDA FRANCISCO QUEIROZ, NRO 39, CIDADE NOVA, MANAUS-AM, CEP 69093-000
MINI BOLO BAUDUCCO L;1.19;CARREFOUR;AV DJALMA BATISTA 276 FLORES, NRO 276, FLORES, MANAUS-AM, CEP 69050-010
BOLO TREL.BRIG/CHOC;1.25;REDELEVE SUPERMERCADOS;RUA RAIMUNDO NONATO DE CASTRO, NRO 3701, SANTO AGOSTINHO, MANAUS-AM, CEP 69093-595
BOLO BAUDUCCO BRIG 40G C 1PC;1.25;DROGARIA SANTO REMEDIO - CIDADE NOVA I;GUAPO, NRO 68, CIDADE NOVA, Q20, MANAUS-AM, CEP 69090-040
BOLO BAUDUCCO BAUN CHOC 40G C 1PC            DE:1,25 POR:1,22 ECONOMIA:2,40%;1.25;DROGARIAS SANTO REMEDIO - BOULEVARD;ALVARO BOTELHO MAIA, NRO 742, CENTRO, MANAUS-AM, CEP 69020-210
BOLO BAUDUCCO BRIG 40G C 1PC                 DE:1,25 POR:1,22 ECONOMIA:2,40%;1.25;DROGARIAS SANTO REMEDIO - TORQUATO TAPAJOS;AVE TORQUATO TAPAJOS, NRO 4160, FLORES, A, MANAUS-AM, CEP 69048-971
BOLO BAUDUCCO BRIG 40G C 1PC                 DE:3,75 POR:3,66 ECONOMIA:2,40%;1.25;DROGARIAS SANTO REMEDIO - TORQUATO TAPAJOS;AVE TORQUATO TAPAJOS, NRO 4160, FLORES, A, MANAUS-AM, CEP 69048-971
BOLO BAUDUCCO BRIG 40G C 1PC         DE:125 POR:122 ECONOI:240;1.25;DROGARIA SANTO REMEDIO - CIDADE NOVA I;GUAPO, NRO 68, CIDADE NOVA, Q20, MANAUS-AM, CEP 69090-040
BOLO BAUDUCCO BAUN CHOC 40G C 1PC;1.25;SANTO REMEDIO CHAPEU GOIANO;JOAO CAMARA, NRO 36, NOVO ALEIXO, C32 LOTE 36 L, MANAUS-AM, CEP 69098-165
